Score	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.03490945263212736	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	436	6	107	6	ὁράω ; 0.2633528709411621	ὑποδέομαι ; 0.2993026673793793	δίδωμι ; 0.3181745409965515	περιστιχίζω ; 0.2935197949409485
-0.04023671281032021	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	12	17	22	13	ὕφεσις ; 0.2979888916015625	πνέω ; 0.27774399518966675	λέγω1 ; 0.2890097498893738	Αβδεναγω ; 0.2518378794193268
-0.01966372108763806	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	82	16	3	82	καταβιβάζω ; 0.3122836649417877	ἐννοσσοποιέω ; 0.31190407276153564	ξυμφορά ; 0.28376850485801697	εἰσακούω ; 0.30534419417381287
0.076929144857765	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	1	6	42	754	γλεῦκος ; 0.8059456944465637	αμαδαρωθ ; 0.3095549941062927	ἀπαρνέομαι ; 0.3095299303531647	φονερός ; 0.3034017086029053
0.04722268771772831	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	6	413	344	1	φιλόφιλος ; 0.3072294592857361	μετά ; 0.31232911348342896	ἀπάγω ; 0.3626352548599243	SU ; 0.3381590247154236
-0.08051429989385409	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	560	117	69	19	γινώσκω ; 0.4541568160057068	ὀλιγοετία ; 0.28134679794311523	φύζω ; 0.2840617001056671	Ιησου ; 0.3095451593399048
0.04570391363847609	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	4	1	21	21	νειόθεν ; 0.2704276740550995	ἰσχίον ; 0.2794964909553528	ἀστεροπή ; 0.3009292483329773	σοῦσον ; 0.3235200047492981
0.026888836050577958	πολιτεία	δῆμος	ζηλωτής	πλούσιος	10	224	13	83	προσποιητός ; 0.2569034695625305	σημέα ; 0.34803155064582825	Ἀβιληνή ; 0.28172218799591064	τοξοδάμας ; 0.2952668070793152
0.3759335714076655	ὕαλος	ὑάλινος	τρῆμα	ἐπί	3	3	1	8144	ἐσώτατος ; 0.4260253608226776	δισμυριάς ; 0.309783011674881	περί-σάττω ; 0.47293078899383545	ἐν ; 0.8089209794998169
0.08521503265449948	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	2	5	4	4	κοινόω ; 0.3902445435523987	ἀποκεντέω ; 0.32740652561187744	περίτροχος ; 0.28767651319503784	ἱππόδρομος ; 0.31320762634277344
0.009447192037754848	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	5	10	81	4	Λεόντιον ; 0.3195231854915619	τυμβοχόη ; 0.280561625957489	κλαγγαίνω ; 0.2883991003036499	παρηίς ; 0.3272266983985901
