Score	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.0944662162740183	ζητέω	ἀποτάσσομαι	κτάομαι	ἅρπαξ	436	6	108	6	ἐκζητέω ; 0.3762001395225525	ἐπιτελέω ; 0.43693169951438904	διασώζω ; 0.4250892996788025	εἰδωλολάτρης ; 0.45909178256988525
0.047010309107031745	ὠρύομαι	θόρυβος	ἠχέω	ἐπιταγή	13	17	22	13	̓Ερυθραί ; 0.38547515869140625	κατεφίστημι ; 0.4316795766353607	ἐκπολιτεύω ; 0.47388818860054016	προήκω ; 0.3932756185531616
-0.03463264992198212	κατάγω	εὐθύνω	ἐκπλέω	ὑπακούω	84	16	3	82	Ἀρδέρικκα ; 0.4012436866760254	ἐντυγχάνω ; 0.41060853004455566	κατάπλοος ; 0.4238842725753784	πεισμονή ; 0.4174216389656067
0.02802374509335598	διαχλευάζω	ἐκμυκτηρίζω	ἐμπαίζω	πνεῦμα	1	6	42	760	γλεῦκος ; 0.6761195659637451	Δίη ; 0.40071815252304077	ὑπερεχθαίρω ; 0.41768187284469604	ξενοδοχέω ; 0.43946343660354614
-0.04781976951748368	μοιχεία	ὀπίσω	ἀπέρχομαι	φάσις	6	413	346	1	ἰάλεμος ; 0.4466139078140259	ὀλεθροφόρος ; 0.363497793674469	ἀποτρέχω ; 0.44272541999816895	φυγαδεύω ; 0.38591042160987854
-0.08039522628316492	οἶδα	ἐπιβλέπω	τιμάω	ἐπιλαμβάνομαι	566	118	69	19	γινώσκω ; 0.5109211802482605	μετέωρος ; 0.4078189730644226	δοξάζω ; 0.4117536246776581	Ιωδανος ; 0.37101423740386963
0.07916872471669456	τεκμήριον	δεῖγμα	ἀποκάλυψις	θώραξ	4	1	21	21	κελευστής ; 0.4288291931152344	ταμιεύομαι ; 0.4487896263599396	συγκληρονομέω ; 0.3491922616958618	βολίς ; 0.38608479499816895
0.020195437792618953	πολιτεία	δῆμος	ζηλωτής	πλούσιος	10	224	13	84	χειροκρατία ; 0.42683887481689453	Ιεζερ ; 0.47231677174568176	τοῖον ; 0.3752392530441284	πτωχός ; 0.40272265672683716
0.12854454510772578	ὕαλος	ὑάλινος	τρῆμα	ἐπί	3	3	1	8198	ἴασπις ; 0.4557873010635376	ἀγχοῦ ; 0.38891664147377014	τρύπημα ; 0.5387052297592163	ἐν ; 0.5865564942359924
0.14191615602620095	ἀφεδρών	ὑπολήνιον	λιθόστρωτος	ἀγωνία	2	5	4	4	προστάς ; 0.4362138509750366	Δωρ ; 0.41268062591552734	προαδικέω ; 0.4028317928314209	φρουρά ; 0.4248526096343994
0.0031207933509120878	εὔχρηστος	ἄκαρπος	μάταιος	ἔγγυος	5	10	81	4	εὑρετής ; 0.4553201496601105	ἐυπλεκής ; 0.4220629334449768	ἐπιδημία ; 0.3862171769142151	συμπληρόω ; 0.448262482881546
0.1432022024095762	ἑορτή	πάσχα	νεομηνία	λαός	149	29	7	2200	ἑξηκοστός ; 0.3929634392261505	Ἱεροσόλυμα ; 0.4777522683143616	Αβεδδαραμ ; 0.4296000599861145	συναγωγή ; 0.36978447437286377
0.012593691192819556	ἀπό	ἀπαρχή	εἷς	ἐνταφιάζω	4791	85	1376	4	ἐκ ; 0.5750884413719177	ἀφαίρεμα ; 0.4491986334323883	νύκτερος ; 0.381016343832016	Γαριζει ; 0.4353557825088501
0.09896606550967812	ἀδύνατος	δυνατός	ἀνένδεκτος	ἕως	37	217	1	1710	χρήσιμος ; 0.4001462459564209	συγκαθεύδω ; 0.38807594776153564	σκῦλα ; 0.4613304138183594	ἁδροσύνη ; 0.46904051303863525
0.09395354944305195	πολεμέω	ἀγών	μάχη	στηρίζω	234	22	37	68	παρατάσσω ; 0.42208772897720337	δυνατέω ; 0.410545289516449	Σαλμών ; 0.3907010555267334	ἐπιφαίνω ; 0.4000166058540344
-0.060393683645712626	ὀψώνιον	ἀντί	εἰκῇ	ἀθετέω	7	412	7	80	Ὅπλευς ; 0.4142453670501709	Βοανηργές ; 0.4726627767086029	παραβάτης ; 0.3982474207878113	τόλμα ; 0.3512245714664459
0.04988975888394104	μαστιγόω	δίκη	βασανίζω	ἀναξίως	42	42	41	2	Στρόφιος ; 0.3752589821815491	διακοπή ; 0.37991055846214294	πηδάλιον ; 0.40961986780166626	προσκυρόω ; 0.4224092364311218
0.21117737492836552	αὐλητής	σάλπιγξ	αὐλός	δέ	2	109	13	7672	Σωβακ ; 0.3926507830619812	κερατίνη ; 0.4377027451992035	Κλαυδία ; 0.37371379137039185	γάρ ; 0.6096363067626953
-0.1322963975273479	υἱός	νυμφών	συμπόσιον	σάρξ	5575	7	12	362	Φουτιηλ ; 0.4052616357803345	Ελισουρ ; 0.3918781876564026	Πτολεμαϊκός ; 0.40429264307022095	κατακερτομέω ; 0.37688279151916504
0.13827247870098108	καυχάομαι	καύχησις	καύχημα	ὕαλος	77	21	35	3	χρονοτριβέω ; 0.40148240327835083	γράσων ; 0.388535737991333	προδιευκρινέω ; 0.40316319465637207	ἴασπις ; 0.4557873010635376
0.022676623019963038	ἀντιλαμβάνομαι	ὑπολαμβάνω	ἐπιλαμβάνομαι	ψίξ	3	56	19	2	πάραλος ; 0.41443896293640137	Ἑλληνοταμίαι ; 0.3622974455356598	Ιωδανος ; 0.37101423740386963	χωρέω ; 0.39401715993881226
0.08876650989605278	ἀτιμάζω	ὑβρίζω	ὕβρις	προχειροτονέω	40	11	65	1	περίβλεπτος ; 0.3859555721282959	ἀδελφιδῆ ; 0.3858664631843567	παλαίστρα ; 0.39757347106933594	ὀτοβέω ; 0.41118645668029785
0.026781041107773684	καθίστημι	ἐκβάλλω	ἀναλαμβάνω	ὑπεραίρομαι	236	181	110	3	ἄγω ; 0.4235442280769348	ἐξάγω ; 0.46449950337409973	λευρός ; 0.3955196142196655	ἑκκαιδεκάδωρος ; 0.4234275817871094
0.027436141266810654	ἐπουράνιος	στρατιά	πονηρία	ἀδήλως	24	36	78	1	Θαεσθεν ; 0.42632991075515747	μόχθημα ; 0.4197554588317871	ζηλόω ; 0.3918413519859314	πυκτεύω ; 0.5064200758934021
-0.026594550742906176	ἀφοράω	εὑρίσκω	διερωτάω	προσφωνέω	6	786	1	11	Κιμμερικός ; 0.4139777719974518	εἰμί ; 0.4805470108985901	Αρνα ; 0.4191332459449768	Θεοδότη ; 0.3858065605163574
