File	Gap Score Correct	Gensim Correct	Gap Score Average
results_NT_5_and_1/data.transformed.half-cut.NT.1500e.s50.tsv	67	32	0.034861257766108274
results_NT_5_and_1/data.transformed.half-cut.NT.pretrained.1500e.s200.tsv	47	23	0.015964587931961826
results_NT_5_and_1/data.transformed.sup-cut.NT.pretrained.1500e.s50.tsv	73	37	0.04494722149720465
results_NT_5_and_1/data.transformed.sup-cut.NT.pretrained.1500e.s80.tsv	70	33	0.03652170089429582
results_NT_5_and_1/data.transformed.sup-cut.NT.1500e.10w.s30.tsv	72	36	0.06483184018401561
results_NT_5_and_1/data.transformed.half-cut.NT.pretrained.1500e.10w.s80.tsv	61	23	0.020793278383280236
results_NT_5_and_1/data.transformed.sup-cut.NT.1500e.10w.s200.tsv	49	26	0.026157779359761327
results_NT_5_and_1/data.transformed.sup-cut.NT.1500e.10w.s50.tsv	56	31	0.040959703111058586
results_NT_5_and_1/data.transformed.com-cut.NT.pretrained.1500e.s50.tsv	72	35	0.04242961151682156
results_NT_5_and_1/data.transformed.half-cut.NT.pretrained.1500e.10w.s30.tsv	63	31	0.0315372030719579
results_NT_5_and_1/data.transformed.half-cut.NT.1500e.10w.s50.tsv	61	30	0.028691911524463213
results_NT_5_and_1/data.transformed.half-cut.NT.1500e.10w.s80.tsv	53	22	0.02715908401715623
results_NT_5_and_1/data.transformed.half-cut.NT.pretrained.1500e.10w.s200.tsv	53	25	0.016992453581030697
results_NT_5_and_1/data.transformed.com-cut.NT.1500e.10w.s80.tsv	53	28	0.02500913764505211
results_NT_5_and_1/data.transformed.half-cut.NT.1500e.10w.s200.tsv	45	26	0.020534925401130853
results_NT_5_and_1/data.transformed.sup-cut.NT.1500e.10w.s80.tsv	48	19	0.032842157887490085
results_NT_5_and_1/data.transformed.com-cut.NT.pretrained.1500e.s80.tsv	65	41	0.03302918615756788
results_NT_5_and_1/data.transformed.sup-cut.NT.pretrained.1500e.s30.tsv	72	41	0.06692128274745097
results_NT_5_and_1/data.transformed.half-cut.NT.1500e.10w.s30.tsv	64	31	0.03836453008064272
results_NT_5_and_1/data.transformed.sup-cut.NT.pretrained.1500e.10w.s30.tsv	72	33	0.053612721262175665
results_NT_5_and_1/data.transformed.half-cut.NT.pretrained.1500e.10w.s50.tsv	66	28	0.02599604422684386
results_NT_5_and_1/data.transformed.com-cut.NT.1500e.s50.tsv	67	31	0.0381215715982028
results_NT_5_and_1/data.transformed.com-cut.NT.1500e.10w.s200.tsv	46	22	0.015172945998547616
results_NT_5_and_1/data.transformed.half-cut.NT.1500e.s30.tsv	69	34	0.05010988068725062
results_NT_5_and_1/data.transformed.sup-cut.NT.pretrained.1500e.10w.s80.tsv	64	28	0.03312600346592807
results_NT_5_and_1/data.transformed.half-cut.NT.1500e.s200.tsv	50	26	0.01796718496335786
results_NT_5_and_1/data.transformed.sup-cut.NT.pretrained.1500e.10w.s50.tsv	73	31	0.04435352668440145
results_NT_5_and_1/data.transformed.com-cut.NT.pretrained.1500e.s30.tsv	65	35	0.05398568143009775
results_NT_5_and_1/data.transformed.com-cut.NT.pretrained.1500e.10w.s80.tsv	59	30	0.027512860602964158
results_NT_5_and_1/data.transformed.com-cut.NT.1500e.10w.s30.tsv	64	30	0.039714665019672336
results_NT_5_and_1/data.transformed.com-cut.NT.pretrained.1500e.10w.s200.tsv	53	28	0.015535176086867103
results_NT_5_and_1/data.transformed.com-cut.NT.pretrained.1500e.10w.s50.tsv	72	27	0.0316394771078921
results_NT_5_and_1/data.transformed.sup-cut.NT.1500e.s200.tsv	45	24	0.026966562634072936
results_NT_5_and_1/data.transformed.com-cut.NT.pretrained.1500e.10w.s30.tsv	69	26	0.036974683737474985
results_NT_5_and_1/data.transformed.com-cut.NT.1500e.s80.tsv	61	32	0.028219693236599053
results_NT_5_and_1/data.transformed.com-cut.NT.1500e.s200.tsv	50	24	0.016672859172854243
results_NT_5_and_1/data.transformed.com-cut.NT.1500e.s30.tsv	76	33	0.051610253210321685
results_NT_5_and_1/data.transformed.half-cut.NT.pretrained.1500e.s80.tsv	65	37	0.03186808206590278
results_NT_5_and_1/data.transformed.sup-cut.NT.pretrained.1500e.10w.s200.tsv	52	24	0.01909327288833037
results_NT_5_and_1/data.transformed.half-cut.NT.1500e.s80.tsv	63	36	0.028159199233599882
results_NT_5_and_1/data.transformed.half-cut.NT.pretrained.1500e.s50.tsv	67	28	0.03939788391494329
results_NT_5_and_1/data.transformed.sup-cut.NT.1500e.s50.tsv	64	33	0.04680022297771812
results_NT_5_and_1/data.transformed.sup-cut.NT.pretrained.1500e.s200.tsv	53	31	0.021052300199972018
results_NT_5_and_1/data.transformed.half-cut.NT.pretrained.1500e.s30.tsv	69	33	0.0542931984011343
results_NT_5_and_1/data.transformed.sup-cut.NT.1500e.s30.tsv	72	36	0.062199342969766425
results_NT_5_and_1/data.transformed.com-cut.NT.pretrained.1500e.s200.tsv	49	25	0.017970454042990813
results_NT_5_and_1/data.transformed.com-cut.NT.1500e.10w.s50.tsv	60	23	0.029395556175209475
results_NT_5_and_1/data.transformed.sup-cut.NT.1500e.s80.tsv	55	37	0.031020994998126602
