Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.07679974273877699	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	37	193	43	25	οὐδαμός ; 0.6831024885177612	νέος1 ; 0.7552741765975952	χαρά ; 0.7663531303405762	ποτίζω ; 0.7516950368881226
0.31566715163814024	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	πρέσβιστος ; 0.7179125547409058	δέρκομαι ; 0.7180269956588745	ἀλδαίνω ; 0.7238034009933472	ἀκριβασμός ; 0.6166955828666687
-0.044197588588467285	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	31	1	121	5	ὑστέρησις ; 0.6990506649017334	δειλόψυχος ; 0.7312434911727905	γN ; 0.7176942229270935	προσπεριβάλλω ; 0.6367343068122864
0.1156994306828823	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	ἀποπαύω ; 0.6478466391563416	Τόλμαιος ; 0.6458848714828491	κατελεέω ; 0.7068893313407898	ὁμότεχνος ; 0.6723594665527344
-0.06522171627102691	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5315	3	37	Καιναῖος ; 0.6958849430084229	πόσις ; 0.7028845548629761	Γαμαλιηλ ; 0.6340571641921997	Ἅννα ; 0.6825434565544128
-0.00743730704860468	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5315	9	̓ἀργεῖος ; 0.640056312084198	ὑποκάμπτω ; 0.7065189480781555	πόσις ; 0.7028845548629761	πρεσβῦτις ; 0.7045059204101562
0.09191774805819719	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	ἐμπίπτω ; 0.6897774934768677	καταφθείρω ; 0.6800439357757568	κρύφα ; 0.6242640614509583	ἀγγεῖον ; 0.7048579454421997
0.033957676002903	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεύω	0	121	8	101	2	γN ; 0.7176942229270935	Νικολαΐτης ; 0.6907699108123779	περασμός ; 0.7246970534324646	ἀδιάστροφος ; 0.6990585923194885
-0.10577197511799752	ἀγέλη	ζῷον	θηρίον	ἀγγελία	θηρίον	0	17	61	211	15	ἀνήνυτος ; 0.7465949058532715	νέφος ; 0.7200841903686523	ἄγριος ; 0.735440731048584	προσορμίζομαι ; 0.69719398021698
0.03344905871718162	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	8	2	1	κιρκόω ; 0.6826158761978149	ἐναίρω ; 0.6511817574501038	χαλάζη ; 0.7006373405456543	πάρεσις ; 0.9160083532333374
